County,GCP_2013_KShM,GCP_2014_KShM,GCP_2015_KShM,GCP_2016_KShM,GCP_2017_KShM,GCP_2018_KShM,GCP_2019_KShM,GCP_2020_KShM,GCP_Growth_2013_2020_pct,Poverty_Rate_2.15usd,Poverty_Rate_3.65usd,Poverty_Rate_6.85usd
Baringo,46891,48386,50400,51367,54892,54156,59408,59642,27.19,33.3,63.9,89.7
Bomet,81679,84159,89594,100563,105326,114440,114113,121387,48.61,55.0,89.5,98.1
Bungoma,128112,137418,135686,137119,146373,153325,157087,156999,22.55,36.5,75.1,94.7
Busia,51755,53215,55030,57305,58501,61840,68915,71153,37.48,63.0,89.4,97.6
Elgeyo-Marakwet,54508,58224,50922,57741,64045,76336,82172,83396,53.0,38.9,75.4,92.5
Embu,104661,98989,99604,110211,108828,118065,114651,121412,16.01,23.9,56.4,87.6
Garissa,33954,35368,36644,42138,42731,46838,47872,50092,47.53,46.3,77.9,95.1
Homa-Bay,78299,81646,82188,82970,86344,92641,93771,93235,19.08,30.5,65.0,93.9
Isiolo,15656,15357,17288,17882,18316,20435,22065,22465,43.49,23.1,66.0,90.2
Kajiado,89215,93688,97111,107864,106773,116223,124728,126633,41.94,27.9,50.7,77.0
Kakamega,133939,140339,145163,153829,152596,162745,170174,169332,26.42,34.7,74.4,93.8
Kericho,101727,108641,110581,113619,119173,125948,128793,133866,31.59,23.9,65.9,91.6
Kiambu,358143,375967,398008,417022,427146,435641,457744,453872,26.73,13.3,37.1,77.6
Kilifi,130301,136278,145327,148001,153129,158516,167516,163818,25.72,34.4,63.1,83.2
Kirinyaga,81667,83360,87782,91645,96449,95553,101992,101500,24.29,15.0,49.8,84.7
Kisii,122892,128736,133230,140651,147121,147649,149431,150454,22.43,45.8,81.3,95.1
Kisumu,156704,161522,169982,173977,184041,196103,207326,210540,34.36,19.2,51.7,85.0
Kitui,76037,82708,87402,82015,87429,94953,103534,102772,35.16,41.2,72.4,94.2
Kwale,75198,75830,74970,76668,84384,88658,90274,92577,23.11,35.9,68.0,90.6
Laikipia,53235,54250,61119,67322,66294,70913,73628,74155,39.3,42.2,71.6,89.5
Lamu,19380,19782,21544,21794,23257,25624,27431,26861,38.6,22.3,49.6,84.5
Machakos,218816,226474,238078,241146,246942,261253,264050,265962,21.55,15.2,41.6,76.7
Makueni,67069,68953,74800,77054,78146,85563,92088,88687,32.23,26.6,58.2,89.5
Mandera,31039,30875,33342,34630,35361,39675,43228,47699,53.67,64.0,88.4,97.8
Marsabit,31770,31058,34874,36303,34445,38120,48834,50186,57.97,50.8,80.0,95.0
Meru,196582,206350,215504,219506,222453,228268,242357,243190,23.71,17.8,55.6,87.8
Migori,75738,81321,80914,77883,88172,92405,97172,96457,27.36,38.0,78.2,96.7
Mombasa,317699,330391,342291,360607,382064,399119,416151,402373,26.65,7.7,27.7,63.4
Murang'a,129266,135675,138092,141567,137995,144211,147170,153219,18.53,23.5,60.4,88.3
Nairobi,1612572,1707029,1817432,1912001,2020743,2137131,2268114,2267447,40.61,2.3,17.0,57.3
Nakuru,285854,318470,338995,366157,352340,366443,391562,388539,35.92,26.0,56.9,84.6
Nandi,92775,98632,100916,107119,108127,118134,115286,117952,27.14,34.1,69.7,95.9
Narok,96444,96676,105024,110543,119067,125904,130555,131624,36.48,25.0,51.6,86.3
Nyamira,68749,67982,70945,75393,76996,85852,86544,89311,29.91,28.8,64.8,91.8
Nyandarua,77294,84597,95657,94896,104138,101197,109895,107389,38.94,30.4,64.6,90.1
Nyeri,128188,135428,143708,146313,145284,149998,160715,164267,28.15,10.5,42.1,76.4
Samburu,16224,15900,19001,20921,20380,21743,24574,24394,50.36,72.9,87.6,95.7
Siaya,62265,65638,69541,66852,71616,77045,81919,82471,32.45,31.0,68.6,92.4
Taita Taveta,38742,41368,43148,44822,45810,48196,50587,50280,29.78,22.3,57.9,82.8
Tana River,18995,17545,21827,20410,19662,20982,23447,24314,28.0,43.2,74.1,93.1
Tharaka-Nithi,36893,37485,38971,40723,42828,45876,46386,48320,30.97,17.1,54.3,86.2
Trans-Nzoia,93263,97382,103544,104415,107948,124705,125619,129367,38.71,35.3,67.0,90.6
Turkana,60515,61295,68948,68983,70925,79766,86329,87077,43.89,68.7,83.6,92.5
Uasin-Gishu,144209,150122,157315,164641,173523,181918,191598,189017,31.07,34.1,59.8,89.0
Vihiga,50474,49977,50869,54064,54465,59406,62186,62636,24.1,28.8,71.7,94.1
Wajir,29602,28170,34235,35965,37222,38279,40935,41150,39.01,40.0,84.4,98.5
West Pokot,40965,42887,47587,52040,48660,52795,57534,61784,50.82,59.0,87.3,99.0
